                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.291,                 4.3567,                 4.1532,                      0,                      0,                      0,                      0,                 5.1381,                 5.2502,                 4.2627,             0.00027346,             0.00027346,             0.00027346
                      2,                 2.7634,                  2.623,                 2.9503,                0.17299,                0.01875,                  0.012,                0.00307,                 3.9052,                 4.4417,                  3.699,             0.00053294,             0.00053294,             0.00053294
                      3,                 2.1256,                 1.8512,                 2.2075,                0.57149,                0.41522,                0.44736,                0.18381,                 2.1411,                 1.8491,                 2.4848,             0.00077409,             0.00077409,             0.00077409
                      4,                 1.8591,                 1.5702,                 1.9459,                0.52823,                0.47834,                0.41495,                0.16151,                 2.2254,                 1.7917,                 2.3064,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.7683,                  1.429,                 1.7819,                0.60285,                0.53941,                0.51932,                0.28096,                 1.6378,                 1.4478,                 1.9872,             0.00075053,             0.00075053,             0.00075053
                      6,                 1.6541,                 1.3191,                   1.69,                0.56992,                0.60555,                  0.631,                0.32957,                 1.5773,                 1.3206,                 1.8778,             0.00072304,             0.00072304,             0.00072304
                      7,                 1.5688,                 1.2458,                 1.6098,                0.63076,                0.60487,                0.65181,                 0.3645,                 1.6086,                 1.2514,                 1.8463,             0.00069556,             0.00069556,             0.00069556
                      8,                 1.5323,                 1.1789,                 1.5744,                0.57041,                0.65158,                0.70367,                0.41117,                 1.4448,                 1.3152,                 1.7301,             0.00066807,             0.00066807,             0.00066807
                      9,                 1.4677,                 1.1074,                  1.514,                0.72299,                0.62954,                0.73086,                0.46798,                 1.3831,                   1.15,                 1.6807,             0.00064058,             0.00064058,             0.00064058
                     10,                 1.4352,                 1.0735,                 1.5071,                0.72763,                0.70552,                 0.7577,                0.46716,                  1.383,                 1.1543,                  1.673,             0.00061309,             0.00061309,             0.00061309
                     11,                 1.4287,                 1.0393,                  1.487,                0.76736,                 0.6383,                0.74868,                0.47333,                 1.3943,                 1.0544,                 1.6589,              0.0005856,              0.0005856,              0.0005856
                     12,                 1.3841,                0.97744,                 1.4532,                0.72989,                0.67553,                0.75849,                0.48959,                 1.3185,                 1.0191,                 1.6027,             0.00055811,             0.00055811,             0.00055811
                     13,                 1.3832,                0.95261,                 1.4373,                0.74311,                0.73295,                0.77548,                0.48343,                 1.3709,                0.97254,                  1.588,             0.00053062,             0.00053062,             0.00053062
                     14,                 1.3567,                0.91894,                 1.4144,                0.71206,                0.71888,                0.76032,                0.47892,                 1.4034,                0.98108,                 1.6209,             0.00050313,             0.00050313,             0.00050313
